,0
аби,0.0064039439947319995
або,0.012807887989463999
аж,0.05763549595258799
аря,0.012807887989463999
багато,0.012807887989463999
багатого,0.0064039439947319995
бажаннями,0.0064039439947319995
бажаєш,0.0064039439947319995
байова,0.0064039439947319995
балакучий,0.0064039439947319995
балці,0.0064039439947319995
бачила,0.0064039439947319995
бачся,0.012807887989463999
бачте,0.0064039439947319995
без,0.0064039439947319995
безкрає,0.0064039439947319995
белебні,0.0064039439947319995
би,0.0064039439947319995
билинку,0.0064039439947319995
билось,0.0064039439947319995
бистрий,0.0064039439947319995
блигий,0.0064039439947319995
блискавка,0.0064039439947319995
блискучий,0.0064039439947319995
блискучими,0.0064039439947319995
блукаю,0.0064039439947319995
блукає,0.0064039439947319995
бо,0.025615775978927998
бог,0.012807887989463999
боками,0.0064039439947319995
боки,0.012807887989463999
боку,0.0064039439947319995
борода,0.0064039439947319995
бородатий,0.0064039439947319995
бородою,0.0064039439947319995
борсалось,0.0064039439947319995
борідці,0.0064039439947319995
боці,0.0064039439947319995
брат,0.0064039439947319995
брата,0.0064039439947319995
бриніла,0.0064039439947319995
бровами,0.0064039439947319995
брови,0.0064039439947319995
бродиш,0.0064039439947319995
бродягу,0.0064039439947319995
був,0.025615775978927998
бува,0.012807887989463999
бувало,0.0064039439947319995
буде,0.019211831984195998
будемо,0.0064039439947319995
будуть,0.0064039439947319995
буйними,0.0064039439947319995
букетах,0.0064039439947319995
була,0.012807887989463999
було,0.019211831984195998
бути,0.0064039439947319995
бідненько,0.0064039439947319995
бідно,0.0064039439947319995
бідної,0.0064039439947319995
бійкою,0.0064039439947319995
бік,0.019211831984195998
біла,0.012807887989463999
біле,0.0064039439947319995
білий,0.0064039439947319995
білого,0.0064039439947319995
білорум,0.0064039439947319995
білочка,0.0064039439947319995
більше,0.0064039439947319995
біля,0.0064039439947319995
білі,0.0064039439947319995
біліли,0.0064039439947319995
вабила,0.0064039439947319995
важко,0.0064039439947319995
вам,0.012807887989463999
василь,0.0064039439947319995
васильович,0.0064039439947319995
ввижається,0.0064039439947319995
вголосбач,0.0064039439947319995
вгору,0.0064039439947319995
вдачу,0.0064039439947319995
вдачі,0.0064039439947319995
вдієш,0.0064039439947319995
веде,0.0064039439947319995
ведуть,0.0064039439947319995
великдень,0.0064039439947319995
великого,0.0064039439947319995
вернувся,0.012807887989463999
верстов,0.0064039439947319995
верхній,0.0064039439947319995
веселими,0.0064039439947319995
весело,0.012807887989463999
веселою,0.0064039439947319995
весна,0.012807887989463999
весни,0.0064039439947319995
весняні,0.0064039439947319995
весь,0.0064039439947319995
весілля,0.0064039439947319995
вечір,0.0064039439947319995
вже,0.05763549595258799
вздовж,0.0064039439947319995
взялася,0.0064039439947319995
взяли,0.0064039439947319995
взір,0.0064039439947319995
ви,0.0064039439947319995
вибійчані,0.0064039439947319995
вивіряла,0.0064039439947319995
виглядали,0.0064039439947319995
виглядати,0.0064039439947319995
виглядаючи,0.0064039439947319995
виглядає,0.0064039439947319995
вигону,0.0064039439947319995
видно,0.038423663968391995
виду,0.012807887989463999
виидеш,0.0064039439947319995
вийшла,0.0064039439947319995
вийшов,0.012807887989463999
викинули,0.0064039439947319995
вилося,0.0064039439947319995
вимазала,0.0064039439947319995
виметений,0.0064039439947319995
випростуючи,0.0064039439947319995
випускаючи,0.0064039439947319995
випустив,0.0064039439947319995
вирвав,0.0064039439947319995
вирване,0.0064039439947319995
виряджав,0.0064039439947319995
висипався,0.0064039439947319995
вискочила,0.012807887989463999
висмикнула,0.0064039439947319995
висока,0.0064039439947319995
високим,0.0064039439947319995
високих,0.0064039439947319995
високого,0.0064039439947319995
високі,0.0064039439947319995
високім,0.0064039439947319995
висохли,0.0064039439947319995
витягши,0.0064039439947319995
виходив,0.0064039439947319995
виходять,0.0064039439947319995
вишивана,0.0064039439947319995
вишняку,0.0064039439947319995
вливався,0.0064039439947319995
влізла,0.0064039439947319995
вмерла,0.012807887989463999
вниз,0.0064039439947319995
води,0.0064039439947319995
водопою,0.0064039439947319995
водою,0.0064039439947319995
волосся,0.0064039439947319995
волоссячко,0.0064039439947319995
волость,0.025615775978927998
волості,0.0064039439947319995
волі,0.0064039439947319995
вона,0.10246310391571199
вони,0.0064039439947319995
воно,0.0064039439947319995
ворота,0.0064039439947319995
воріт,0.0064039439947319995
восени,0.012807887989463999
вперед,0.0064039439947319995
вповні,0.0064039439947319995
вподовж,0.0064039439947319995
впоперек,0.0064039439947319995
вривається,0.0064039439947319995
врода,0.0064039439947319995
вроди,0.0064039439947319995
все,0.038423663968391995
вслід,0.0064039439947319995
вспів,0.012807887989463999
вспіло,0.0064039439947319995
встиг,0.0064039439947319995
вступав,0.0064039439947319995
всього,0.0064039439947319995
всюди,0.0064039439947319995
всякої,0.0064039439947319995
всі,0.012807887989463999
вулиці,0.0064039439947319995
вусам,0.0064039439947319995
вухах,0.0064039439947319995
вчувався,0.0064039439947319995
від,0.0064039439947319995
відколи,0.0064039439947319995
відкіля,0.0064039439947319995
вікнами,0.0064039439947319995
він,0.17931043185249598
віником,0.0064039439947319995
вірьовкою,0.0064039439947319995
вітрець,0.0064039439947319995
віччю,0.0064039439947319995
вічі,0.012807887989463999
віями,0.0064039439947319995
гадюкою,0.0064039439947319995
гайворон,0.0064039439947319995
гайся,0.0064039439947319995
галушок,0.0064039439947319995
гамазеї,0.0064039439947319995
гамана,0.0064039439947319995
ганнанебога,0.0064039439947319995
ганяє,0.0064039439947319995
гаразд,0.0064039439947319995
гарно,0.012807887989463999
гладкі,0.0064039439947319995
глиною,0.0064039439947319995
гляди,0.0064039439947319995
глянув,0.025615775978927998
глянула,0.012807887989463999
глянути,0.0064039439947319995
глянь,0.0064039439947319995
гм,0.012807887989463999
гнучкий,0.0064039439947319995
гнучкого,0.0064039439947319995
гнітити,0.0064039439947319995
говорив,0.0064039439947319995
годину,0.0064039439947319995
годі,0.0064039439947319995
голова,0.025615775978927998
головою,0.012807887989463999
голову,0.032019719973659995
голові,0.0064039439947319995
голос,0.044827607963123996
голосно,0.0064039439947319995
голосу,0.0064039439947319995
гомін,0.0064039439947319995
гонить,0.0064039439947319995
гонке,0.0064039439947319995
горбку,0.0064039439947319995
город,0.019211831984195998
городи,0.0064039439947319995
городини,0.0064039439947319995
городу,0.0064039439947319995
горою,0.0064039439947319995
гору,0.0064039439947319995
гостей,0.0064039439947319995
гострі,0.0064039439947319995
грає,0.0064039439947319995
грицько,0.0064039439947319995
грицьку,0.012807887989463999
громаду,0.012807887989463999
громадянин,0.0064039439947319995
громаді,0.0064039439947319995
груди,0.012807887989463999
грудях,0.012807887989463999
грунт,0.0064039439947319995
груш,0.0064039439947319995
гріло,0.0064039439947319995
губі,0.0064039439947319995
гукала,0.0064039439947319995
гукнула,0.0064039439947319995
густе,0.0064039439947319995
густими,0.0064039439947319995
густо,0.0064039439947319995
давай,0.012807887989463999
давитись,0.0064039439947319995
давно,0.012807887989463999
далекий,0.0064039439947319995
далеко,0.0064039439947319995
далекої,0.0064039439947319995
далі,0.032019719973659995
дати,0.0064039439947319995
дає,0.0064039439947319995
двадцятка,0.0064039439947319995
двадцять,0.0064039439947319995
дверей,0.012807887989463999
дворище,0.0064039439947319995
двору,0.012807887989463999
двоє,0.0064039439947319995
двужон,0.0064039439947319995
дві,0.025615775978927998
двір,0.012807887989463999
де,0.044827607963123996
дегде,0.0064039439947319995
денебудь,0.0064039439947319995
день,0.0064039439947319995
деревину,0.0064039439947319995
держално,0.019211831984195998
держалном,0.0064039439947319995
десяти,0.0064039439947319995
десять,0.0064039439947319995
дзвінкий,0.012807887989463999
дзвіночок,0.0064039439947319995
дивились,0.0064039439947319995
дивиться,0.0064039439947319995
дивною,0.0064039439947319995
дивнішими,0.0064039439947319995
дивувався,0.0064039439947319995
дитино,0.0064039439947319995
до,0.147290711878836
добиралося,0.0064039439947319995
добра,0.012807887989463999
добре,0.012807887989463999
добрими,0.0064039439947319995
добрість,0.0064039439947319995
довгими,0.0064039439947319995
довго,0.019211831984195998
довгобразе,0.012807887989463999
довідувався,0.0064039439947319995
догадалася,0.0064039439947319995
догадках,0.0064039439947319995
додому,0.0064039439947319995
дознатись,0.0064039439947319995
доказати,0.0064039439947319995
докором,0.0064039439947319995
докору,0.0064039439947319995
докоряла,0.0064039439947319995
докупи,0.0064039439947319995
докучне,0.0064039439947319995
долину,0.0064039439947319995
долоні,0.012807887989463999
доля,0.0064039439947319995
дома,0.0064039439947319995
доноситься,0.0064039439947319995
донщині,0.0064039439947319995
дороги,0.0064039439947319995
дорогі,0.0064039439947319995
достатки,0.0064039439947319995
доторкнувся,0.0064039439947319995
дочка,0.019211831984195998
дочок,0.0064039439947319995
дощ,0.0064039439947319995
дощаніхрещаті,0.0064039439947319995
доїти,0.0064039439947319995
драний,0.0064039439947319995
другий,0.019211831984195998
другу,0.0064039439947319995
дрібних,0.0064039439947319995
дуже,0.019211831984195998
дукати,0.0064039439947319995
думав,0.019211831984195998
думавши,0.0064039439947319995
думати,0.0064039439947319995
думка,0.0064039439947319995
думками,0.0064039439947319995
думки,0.0064039439947319995
думкою,0.0064039439947319995
думку,0.012807887989463999
дух,0.019211831984195998
духова,0.0064039439947319995
душно,0.0064039439947319995
душу,0.019211831984195998
дядька,0.012807887989463999
дівоцької,0.0064039439947319995
дівоча,0.0064039439947319995
дівчат,0.0064039439947319995
дівчата,0.0064039439947319995
дівчина,0.032019719973659995
дівчини,0.012807887989463999
дівчину,0.0064039439947319995
дід,0.012807887989463999
діждали,0.0064039439947319995
діждеш,0.0064039439947319995
дій,0.0064039439947319995
