,0
або,0.01592980860708795
австронімецьку,0.007964904303543975
австроугорської,0.007964904303543975
австроугорщини,0.007964904303543975
австрійським,0.007964904303543975
австрійців,0.007964904303543975
австрію,0.007964904303543975
автора,0.007964904303543975
автором,0.007964904303543975
агентуру,0.007964904303543975
агенції,0.007964904303543975
аж,0.007964904303543975
академічній,0.007964904303543975
активну,0.01592980860708795
акту,0.007964904303543975
акцію,0.007964904303543975
але,0.0637192344283518
америкою,0.007964904303543975
аморальність,0.007964904303543975
анатолій,0.01592980860708795
антиклерикальним,0.007964904303543975
антиросійську,0.007964904303543975
арені,0.007964904303543975
арешту,0.007964904303543975
артезянські,0.007964904303543975
атмосферу,0.007964904303543975
багалій,0.007964904303543975
багато,0.01592980860708795
бандери,0.01592980860708795
бандері,0.007964904303543975
батька,0.007964904303543975
батьки,0.007964904303543975
батько,0.023894712910631926
батьків,0.007964904303543975
батьківському,0.007964904303543975
батьківщиною,0.007964904303543975
бачив,0.007964904303543975
бачинською,0.007964904303543975
бедрій,0.01592980860708795
без,0.04778942582126385
безжурна,0.007964904303543975
бере,0.007964904303543975
берези,0.007964904303543975
березі,0.01592980860708795
берліні,0.007964904303543975
берна,0.007964904303543975
бжеський,0.007964904303543975
бжеським,0.007964904303543975
би,0.039824521517719876
бився,0.007964904303543975
блиснули,0.007964904303543975
бо,0.007964904303543975
боберського,0.007964904303543975
богдана,0.007964904303543975
болгарів,0.007964904303543975
боргу,0.007964904303543975
боротьби,0.01592980860708795
боротьбу,0.007964904303543975
брав,0.01592980860708795
брата,0.007964904303543975
братами,0.007964904303543975
брошурка,0.007964904303543975
був,0.1354033731602476
будете,0.007964904303543975
будуть,0.007964904303543975
будьхто,0.007964904303543975
була,0.0637192344283518
були,0.04778942582126385
було,0.05575433012480782
буремного,0.007964904303543975
бути,0.007964904303543975
бібліотеки,0.01592980860708795
бібліотеку,0.007964904303543975
бібліотеці,0.01592980860708795
бійтеся,0.007964904303543975
більше,0.007964904303543975
біля,0.007964904303543975
важко,0.01592980860708795
